Tipo_Error,Archivo,Linea,Valor_Error,Descripción
Advertencia,AM,235,R06AD018101,Este valor no esta en el archivo de códigos
Advertencia,AM,236,19992495-01,Este valor no esta en el archivo de códigos
Advertencia,AM,237,17145-02,Este valor no esta en el archivo de códigos
Advertencia,AM,238,N02BA001011,Este valor no esta en el archivo de códigos
Advertencia,AM,239,A07CS002251,Este valor no esta en el archivo de códigos
Advertencia,AM,240,A06AB010021,Este valor no esta en el archivo de códigos
Advertencia,AM,241,C02CP026011,Este valor no esta en el archivo de códigos
Advertencia,AM,242,C09AC004011,Este valor no esta en el archivo de códigos
Advertencia,AM,243,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,244,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,245,19944375-04,Este valor no esta en el archivo de códigos
Advertencia,AM,246,19992495-01,Este valor no esta en el archivo de códigos
Advertencia,AM,247,19917651-01,Este valor no esta en el archivo de códigos
Advertencia,AM,248,19934768-10,Este valor no esta en el archivo de códigos
Advertencia,AM,249,N02AT020201,Este valor no esta en el archivo de códigos
Advertencia,AM,250,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,251,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,252,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,253,C08DV016011,Este valor no esta en el archivo de códigos
Advertencia,AM,254,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,255,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,256,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,257,C08DV016011,Este valor no esta en el archivo de códigos
Advertencia,AM,258,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,259,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,260,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,261,H03AL006011,Este valor no esta en el archivo de códigos
Advertencia,AM,262,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,263,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,264,19948782-03,Este valor no esta en el archivo de códigos
Advertencia,AM,265,17145-02,Este valor no esta en el archivo de códigos
Advertencia,AM,266,19934768-10,Este valor no esta en el archivo de códigos
Advertencia,AM,267,G03AC06,Este valor no esta en el archivo de códigos
Advertencia,AM,268,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,269,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,270,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,271,19908144-01,Este valor no esta en el archivo de códigos
Advertencia,AM,272,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,273,19955566-01,Este valor no esta en el archivo de códigos
Advertencia,AM,274,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,275,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,276,H03AL006012,Este valor no esta en el archivo de códigos
Advertencia,AM,277,H03AL006011,Este valor no esta en el archivo de códigos
Advertencia,AM,278,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,279,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,280,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,281,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,282,G03AC06,Este valor no esta en el archivo de códigos
Advertencia,AM,283,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,284,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,285,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,286,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,287,G03AC06,Este valor no esta en el archivo de códigos
Advertencia,AM,288,S01BF011601,Este valor no esta en el archivo de códigos
Advertencia,AM,289,19960548-03,Este valor no esta en el archivo de códigos
Advertencia,AM,290,A07CS002251,Este valor no esta en el archivo de códigos
Advertencia,AM,291,33492-07,Este valor no esta en el archivo de códigos
Advertencia,AM,292,C08CN008141,Este valor no esta en el archivo de códigos
Advertencia,AM,293,19953919-06,Este valor no esta en el archivo de códigos
Advertencia,AM,294,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,295,19925327-01,Este valor no esta en el archivo de códigos
Advertencia,AM,296,19924350-01,Este valor no esta en el archivo de códigos
Advertencia,AM,297,19980450-01,Este valor no esta en el archivo de códigos
Advertencia,AM,298,33438-02,Este valor no esta en el archivo de códigos
Advertencia,AM,299,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,300,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,301,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,302,C02CP026011,Este valor no esta en el archivo de códigos
Advertencia,AM,303,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,304,19914262-01,Este valor no esta en el archivo de códigos
Advertencia,AM,305,19950478-01,Este valor no esta en el archivo de códigos
Advertencia,AM,306,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,307,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,308,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,309,19908144-01,Este valor no esta en el archivo de códigos
Advertencia,AM,310,A02BO002101,Este valor no esta en el archivo de códigos
Advertencia,AM,311,A06AB010021,Este valor no esta en el archivo de códigos
Advertencia,AM,312,N03AC005011,Este valor no esta en el archivo de códigos
Advertencia,AM,313,19934983-01,Este valor no esta en el archivo de códigos
Advertencia,AM,314,D07AB004321,Este valor no esta en el archivo de códigos
Advertencia,AM,315,38375-03,Este valor no esta en el archivo de códigos
Advertencia,AM,316,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,317,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,318,19960548-03,Este valor no esta en el archivo de códigos
Advertencia,AM,319,33492-07,Este valor no esta en el archivo de códigos
Advertencia,AM,320,19908144-01,Este valor no esta en el archivo de códigos
Advertencia,AM,321,19983869-04,Este valor no esta en el archivo de códigos
Advertencia,AM,322,A10BG004011,Este valor no esta en el archivo de códigos
Advertencia,AM,323,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,324,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,325,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,326,N03AV011141,Este valor no esta en el archivo de códigos
Advertencia,AM,327,N04BB008011,Este valor no esta en el archivo de códigos
Advertencia,AM,328,N05AH001701,Este valor no esta en el archivo de códigos
Advertencia,AM,329,19940779-01,Este valor no esta en el archivo de códigos
Advertencia,AM,330,19965399-06,Este valor no esta en el archivo de códigos
Advertencia,AM,331,B03BF014011,Este valor no esta en el archivo de códigos
Advertencia,AM,332,19914806-03,Este valor no esta en el archivo de códigos
Advertencia,AM,333,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,334,N02AT020201,Este valor no esta en el archivo de códigos
Advertencia,AM,335,41063-01,Este valor no esta en el archivo de códigos
Advertencia,AM,336,N06AA024011,Este valor no esta en el archivo de códigos
Advertencia,AM,337,19944374-06,Este valor no esta en el archivo de códigos
Advertencia,AM,338,19940519-01,Este valor no esta en el archivo de códigos
Advertencia,AM,339,19956780-01,Este valor no esta en el archivo de códigos
Advertencia,AM,340,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,341,H03AL006012,Este valor no esta en el archivo de códigos
Advertencia,AM,342,H03AL006011,Este valor no esta en el archivo de códigos
Advertencia,AM,343,19925327-01,Este valor no esta en el archivo de códigos
Advertencia,AM,344,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,345,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,346,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,347,P01AT012011,Este valor no esta en el archivo de códigos
Advertencia,AM,348,19914262-01,Este valor no esta en el archivo de códigos
Advertencia,AM,349,19950478-01,Este valor no esta en el archivo de códigos
Advertencia,AM,350,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,351,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,352,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,353,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,354,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,355,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,356,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,357,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,358,C02CP026011,Este valor no esta en el archivo de códigos
Advertencia,AM,359,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,360,19955566-01,Este valor no esta en el archivo de códigos
Advertencia,AM,361,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,362,A11CC003101,Este valor no esta en el archivo de códigos
Advertencia,AM,363,19934983-01,Este valor no esta en el archivo de códigos
Advertencia,AM,364,N02BA001011,Este valor no esta en el archivo de códigos
Advertencia,AM,365,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,366,C08DV016011,Este valor no esta en el archivo de códigos
Advertencia,AM,367,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,368,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,369,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,370,A10AI008702,Este valor no esta en el archivo de códigos
Advertencia,AM,371,G03AC06,Este valor no esta en el archivo de códigos
Advertencia,AM,372,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,373,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,374,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,375,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,376,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,377,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,378,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,379,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,380,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,381,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,382,C08DV016011,Este valor no esta en el archivo de códigos
Advertencia,AM,383,19953919-06,Este valor no esta en el archivo de códigos
Advertencia,AM,384,A11CC003101,Este valor no esta en el archivo de códigos
Advertencia,AM,385,N02BA001011,Este valor no esta en el archivo de códigos
Advertencia,AM,386,19983869-04,Este valor no esta en el archivo de códigos
Advertencia,AM,387,C08DV016011,Este valor no esta en el archivo de códigos
Advertencia,AM,388,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,389,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,390,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,391,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,392,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,393,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,394,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,395,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,396,A10BG004011,Este valor no esta en el archivo de códigos
Advertencia,AM,397,1981505-06,Este valor no esta en el archivo de códigos
Advertencia,AM,398,19953919-06,Este valor no esta en el archivo de códigos
Advertencia,AM,399,C02CP026011,Este valor no esta en el archivo de códigos
Advertencia,AM,400,51334-03,Este valor no esta en el archivo de códigos
Advertencia,AM,401,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,402,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,403,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,404,A02BO002101,Este valor no esta en el archivo de códigos
Advertencia,AM,405,20005748-01,Este valor no esta en el archivo de códigos
